Field	Rating	Entries	P(Woman)
Student	1497.6221912594508	4947	0.3027334124235801
Senior	432.0469893383931	1494	0.2891880785397544
Non-student	585.4237121703984	1477	0.39635999469898336
First-Year Student	307.4894217818965	1070	0.28737329138495
Junior	335.100800517529	1001	0.334766034483046
Mechanical Engineering	153.59219087769117	718	0.2139167003867565
Sophomore	231.43000562708457	698	0.33156161264625295
Graduate Student	165.3051472270634	639	0.2586935011378144
Computer Science	86.70591543083465	557	0.15566591639288088
Biomedical Engineering	170.47088031822022	351	0.4856720236986331
Chemical Engineering	131.54808970807937	333	0.39503930843267077
Aeronautical Engineering	58.922565854576696	299	0.19706543764072473
Electrical Engineering	55.60058470204912	287	0.19373026028588544
Computer and Systems Engineering	35.69566421564292	232	0.1538606216191505
Architecture	116.08659983765737	204	0.5690519599885165
Civil Engineering	57.05282811540794	177	0.3223323622339432
Business and Management	48.6707784484735	175	0.2781187339912771
Biology	74.85319741853056	134	0.5586059508845563
Mathematics	33.98375291881405	127	0.2675886056599531
Environmental & Site Services	37.66674246699584	122	0.30874379071308067
Industrial and Management Engr	45.20913237681635	118	0.38312824048149446
Physics	18.905780632066254	117	0.1615878686501389
Undeclared Engineering	30.077521073451347	116	0.25928897477113233
Games and Simulation Arts and Sci	25.424675009396978	106	0.2398554246169526
Materials Engineering	35.9991352494255	104	0.34614553124447595
Nuclear Engineering	25.594251567132034	103	0.248487879292544
Physical Plant	5.509759426427103	76	0.07249683455825136
Chemistry	29.559221578999136	73	0.40492084354793334
Environmental Specialist, Sr.	27.54793458799489	71	0.3879990787041534
Management	15.828800775858168	68	0.23277648199791423
Biochemistry and Biophysics	41.20448152885065	65	0.6339151004438561
Environmental Engineering	31.082457568381475	55	0.5651355921523905
Information Tech and Web Science	15.263319011432682	54	0.2826540557672719
Professor	13.31048692507007	49	0.27164259030755245
Design, Innovation and Society	23.396991375459862	47	0.4978083271374439
Mechanical, Aerospace & Nuclear Eng	12.531539335714848	42	0.2983699841836869
Department of Athletics	16.86368881807954	41	0.4113094833677937
Administrative Coordinator	36.267194429445254	37	0.980194444039061
Administrative Specialist	33.04276021325962	36	0.9178544503683228
Associate Professor	14.233478620921375	35	0.4066708177406107
Public Safety	11.274307635042476	35	0.3221230752869279
Cognitive Science	13.98937381523982	32	0.43716793172624435
Elect Media, Arts, and Comm	24.743498864306794	31	0.798177382719574
Center for Biotechnology and Interdisciplinary Studies	18.51380002523092	30	0.6171266675076974
Lecturer	8.52925271448976	27	0.3158982486848059
Information Technology	5.169325037660198	27	0.19145648287630365
Rensselaer Union	11.155871541580852	25	0.4462348616632341
Electrical, Computer, and Systems Engineering	6.176437877689378	24	0.2573515782370574
Operations Associate	18.889242013465743	23	0.8212713918898149
Physics,Applied Physics & Astronomy	4.128654992194973	22	0.18766613600886242
Postdoc Research Associate	8.509965624550851	22	0.38681661929776595
Lally School of Management	10.92755169106666	22	0.49670689504848453
EMPAC General	5.968833382751337	22	0.271310608306879
Assistant Professor	10.020303814952186	21	0.47715732452153264
Geology	8.071122625219456	21	0.3843391726294979
Bioinformatics and Molec Biology	10.75704395471903	21	0.5122401883199539
Engineering Science	5.265649535396053	20	0.26328247676980265
Operations Specialist	15.790578414524276	19	0.8310830744486462
Mathematical Sciences	7.640123503241359	18	0.42445130573563106
Applied Physics	9.01339001167588	18	0.5007438895375489
Electronic Arts	12.944497656123179	17	0.7614410385954811
Lighting Research Center	6.3645586870307564	17	0.37438580511945624
Auxiliary, Parking and Transportation Services	8.923524905244832	17	0.5249132297202843
Economics	4.8184999084276825	17	0.2834411710839813
Adjunct	4.901922488815331	16	0.3063701555509582
MultiMedia Services	4.031744817243036	16	0.25198405107768973
Administrative Associate	15.932911912959879	16	0.9958069945599924
Rensselaer Union Club Staff	5.834098158160955	15	0.3889398772107303
Communication and Rhetoric	9.93873614144414	15	0.6625824094296093
Public Safety Officer II	4.982287711587158	15	0.33215251410581054
Business Coordinator	12.865372610792999	14	0.9189551864852142
Driver, Shuttle	3.067497356904658	14	0.21910695406461844
Psychology	6.024890914680519	14	0.4303493510486085
Chemistry and Chemical Biology	5.102733964635377	14	0.36448099747395546
Visiting Scholar/Adjunct	3.51467481390369	13	0.2703596010695146
Research Administration & Finance	10.75313747611098	13	0.8271644212393062
Civil and Environmental Engineering	3.0190928554254666	13	0.23223791195580512
Materials Science and Engineering	1.7285233386367853	13	0.13296333374129118
Architectural Sciences	3.0467281752043087	13	0.23436370578494684
